Feature Selection,Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
LASSO,Logistic Regression,0.9825,0.9861,0.9861,0.9861,0.996
LASSO,Random Forest,0.9737,0.9859,0.9722,0.979,0.995
LASSO,XGBoost,0.9474,0.9583,0.9583,0.9583,0.994
Random Forest,Logistic Regression,0.9474,0.9714,0.9444,0.9577,0.9921
ANOVA,Logistic Regression,0.9474,0.9714,0.9444,0.9577,0.9921
mRMR,Logistic Regression,0.9474,0.9714,0.9444,0.9577,0.9921
Random Forest,Random Forest,0.9561,0.9589,0.9722,0.9655,0.9911
mRMR,XGBoost,0.9649,0.9595,0.9861,0.9726,0.9907
ANOVA,XGBoost,0.9649,0.9595,0.9861,0.9726,0.9904
Random Forest,XGBoost,0.9649,0.9595,0.9861,0.9726,0.9901
mRMR,Random Forest,0.9474,0.9583,0.9583,0.9583,0.9896
Boruta,XGBoost,0.9386,0.9577,0.9444,0.951,0.9894
Boruta,Random Forest,0.9474,0.9714,0.9444,0.9577,0.9894
ANOVA,Random Forest,0.9561,0.9589,0.9722,0.9655,0.9889
Boruta,Logistic Regression,0.9035,0.9552,0.8889,0.9209,0.9821
