Feature Selection,Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
ANOVA,Logistic Regression,0.9473684210526315,0.9714285714285714,0.9444444444444444,0.9577464788732394,0.9920634920634921
ANOVA,Random Forest,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9889219576719577
ANOVA,XGBoost,0.9649122807017544,0.9594594594594594,0.9861111111111112,0.9726027397260274,0.9904100529100529
mRMR,Logistic Regression,0.9473684210526315,0.9714285714285714,0.9444444444444444,0.9577464788732394,0.9920634920634921
mRMR,Random Forest,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9895833333333334
mRMR,XGBoost,0.9649122807017544,0.9594594594594594,0.9861111111111112,0.9726027397260274,0.9907407407407408
Random Forest,Logistic Regression,0.9473684210526315,0.9714285714285714,0.9444444444444444,0.9577464788732394,0.9920634920634921
Random Forest,Random Forest,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9910714285714286
Random Forest,XGBoost,0.9649122807017544,0.9594594594594594,0.9861111111111112,0.9726027397260274,0.990079365079365
LASSO,Logistic Regression,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.996031746031746
LASSO,Random Forest,0.9736842105263158,0.9859154929577465,0.9722222222222222,0.9790209790209791,0.9950396825396826
LASSO,XGBoost,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9940476190476191
Boruta,Logistic Regression,0.9035087719298246,0.9552238805970149,0.8888888888888888,0.920863309352518,0.9821428571428572
Boruta,Random Forest,0.9473684210526315,0.9714285714285714,0.9444444444444444,0.9577464788732394,0.9894179894179895
Boruta,XGBoost,0.9385964912280702,0.9577464788732394,0.9444444444444444,0.951048951048951,0.9894179894179893
